"Raison Sociale";"Type";"Sous-type";"Ligne adresse 1";"Numéro";"Complément numéro";"Type de voie";"Voie";"Ligne adresse 3";"Boite postale";"Code postal";"Ville";"Bureau distributeur";"Indicateur cédex";"Cédex";"Téléphone";"Mail";"Adresse Web";"Longitude";"Latitude";
"Maison du Parc Naturel Régional de Camargue";"cdt:MuseeEtAssimile";"Centre d'interprétation de la nature";"";"";"";"RD";"570";"Pont de Gau";"";"13460";"Saintes Maries de la Mer";"LES SAINTES MARIES DE LA MER";"non";"";"04 90 97 86 32";"info@parc-camargue.fr";"http://www.parc-camargue.fr";"4.43879";"43.5131812";
"Musée Frédéric Mistral";"cdt:MuseeEtAssimile";"Musée Musée divers";"";"11";"";"Avenue";"Lamartine";"";"";"13910";"Maillane";"MAILLANE";"non";"";"04 90 95 84 19";"ot.maillane@wanadoo.fr";"http://www.maillane.fr";"4.782482";"43.830922";
"Conservatoire du Patrimoine Médical de Marseille";"cdt:MuseeEtAssimile";"Musée divers";"Hôpital Salvator";"249";"";"Boulevard";"Sainte-Marguerite";"";"";"13009";"Marseille";"MARSEILLE";"non";"";"04 91 74 51 71";"yvesbaille@ap-hm.fr";"http://patrimoinemedical.univmed.fr/";"5.4093066";"43.2648688";
"Rétro Musée de la Crau";"cdt:MuseeEtAssimile";"Musée";"Ecomusée de la Crau";"";"";"Boulevard";"Provence";"";"";"13310";"Saint Martin de Crau";"SAINT MARTIN DE CRAU";"non";"";"04 90 47 14 43";"pajo.avis@wanadoo.fr";"http://vieuxmetiers.avis.monsite-orange.fr";"4.802581";"43.636494";
"Musée Vitrine Archéologique";"cdt:MuseeEtAssimile";"Musée « in situ » (de site)";"";"";"";"Rue";"Marguetorte";"Place Maritima";"";"13500";"Martigues";"MARTIGUES";"non";"";"04 42 42 18 43";"";"";"5.054603";"43.40598";
"Musée du santon Marise Di Landro";"cdt:MuseeEtAssimile";"Musée d'entreprise";"ZI des Paluds";"582";"";"Avenue";"Des Paluds";"";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 70 95 65";"mdilandro@free.fr";"http://www.santons-dilandro.fr";"5.6000337";"43.2886476";
"Collection Ornithologique";"cdt:MuseeEtAssimile";"Musée divers";"Tour Saint Louis";"";"";"Quai";"Bonnardel";"";"";"13230";"Port Saint Louis du Rhône";"PORT SAINT LOUIS DU RHONE";"non";"";"04 42 86 01 21";"contact@portsaintlouis-tourisme.fr";"http://www.portsaintlouis-tourisme.fr";"4.805679";"43.384298";
"Musée de Calès";"cdt:MuseeEtAssimile";"Musée";"";"";"";"Place";"Du Cabaret";"";"";"13113";"Lamanon";"LAMANON";"non";"";"04 90 59 54 62 06 76 51 76 22";"calessaintdenis@free.fr";"http://www.cales-lamanon.fr";"5.089137";"43.753755";
"Collection privée de l'artisanat des tranchées 1914-1918";"cdt:MuseeEtAssimile";"Musée divers";"";"";"";"Chemin";"Roumieux";"La Crau";"";"13160";"Châteaurenard";"CHATEAURENARD";"non";"";"04 90 94 18 66";"";"";"4.7938352";"43.8518188";
"Musée du santon Le Moulin à Huile";"cdt:MuseeEtAssimile";"Musée d'entreprise";"";"1280";"";"RN";"96";"Quartier Napollon";"";"13400";"Aubagne";"AUBAGNE";"non";"";"04 42 03 81 03";"contact@lemoulinahuile.com";"http://www.lemoulinahuile.fr";"5.581495";"43.31649";
"Musée du Santon ( coll.privée M.Carbonel )";"cdt:MuseeEtAssimile";"Musée d'entreprise";"";"49";"";"Rue";"Neuve Sainte-Catherine";"";"";"13007";"Marseille";"MARSEILLE";"non";"";"04 91 13 61 36";"visdomine@santonsmarcelcarbonel.com";"http://www.santonsmarcelcarbonel.com";"5.36698";"43.29155";
"Ecomusée de la Crau";"cdt:MuseeEtAssimile";"Eco-musée";"";"";"";"Boulevard";"Provence";"";"";"13310";"Saint Martin de Crau";"SAINT MARTIN DE CRAU";"non";"";"04 90 47 02 01";"ecomusee.crau@ceep.asso.fr";"http://www.ceep.asso.fr/ecomuse.htm";"4.803257";"43.636526";
